W,R
1.00E-07,0.999999443
1.02E-07,0.999999437
1.04E-07,0.999999431
1.07E-07,0.999999425
1.09E-07,0.999999419
1.11E-07,0.999999413
1.14E-07,0.999999406
1.16E-07,0.9999994
1.19E-07,0.999999393
1.21E-07,0.999999387
1.24E-07,0.99999938
1.27E-07,0.999999373
1.29E-07,0.999999367
1.32E-07,0.99999936
1.35E-07,0.999999353
1.38E-07,0.999999346
1.41E-07,0.999999339
1.44E-07,0.999999332
1.47E-07,0.999999325
1.50E-07,0.999999317
1.54E-07,0.99999931
1.57E-07,0.999999302
1.60E-07,0.999999295
1.64E-07,0.999999287
1.67E-07,0.99999928
1.71E-07,0.999999272
1.75E-07,0.999999264
1.79E-07,0.999999256
1.82E-07,0.999999248
1.86E-07,0.99999924
1.90E-07,0.999999232
1.95E-07,0.999999223
1.99E-07,0.999999215
2.03E-07,0.999999207
2.07E-07,0.999999198
2.12E-07,0.999999189
2.17E-07,0.999999181
2.21E-07,0.999999172
2.26E-07,0.999999163
2.31E-07,0.999999154
2.36E-07,0.999999145
2.41E-07,0.999999135
2.46E-07,0.999999126
2.52E-07,0.999999117
2.57E-07,0.999999107
2.63E-07,0.999999098
2.68E-07,0.999999088
2.74E-07,0.999999078
2.80E-07,0.999999068
2.86E-07,0.999999058
2.93E-07,0.999999048
2.99E-07,0.999999037
3.05E-07,0.999999027
3.12E-07,0.999999017
3.19E-07,0.999999006
3.26E-07,0.999998995
3.33E-07,0.999998984
3.40E-07,0.999998973
3.47E-07,0.999998962
3.55E-07,0.999998951
3.63E-07,0.99999894
3.70E-07,0.999998928
3.78E-07,0.999998917
3.87E-07,0.999998905
3.95E-07,0.999998893
4.04E-07,0.999998881
4.12E-07,0.999998869
4.21E-07,0.999998857
4.31E-07,0.999998845
4.40E-07,0.999998832
4.49E-07,0.99999882
4.59E-07,0.999998807
4.69E-07,0.999998794
4.79E-07,0.999998781
4.90E-07,0.999998768
5.00E-07,0.999998755
5.11E-07,0.999998741
5.22E-07,0.999998728
5.34E-07,0.999998714
5.45E-07,0.9999987
5.57E-07,0.999998686
5.69E-07,0.999998672
5.81E-07,0.999998657
5.94E-07,0.999998643
6.07E-07,0.999998628
6.20E-07,0.999998614
6.34E-07,0.999998599
6.47E-07,0.999998583
6.61E-07,0.999998568
6.76E-07,0.999998553
6.90E-07,0.999998537
7.05E-07,0.999998521
7.21E-07,0.999998505
7.36E-07,0.999998489
7.52E-07,0.999998473
7.69E-07,0.999998456
7.85E-07,0.99999844
8.02E-07,0.999998423
